id,en,tw,status,comment
1,a,一(個),0,
2,a few,一些,1,
3,a little,一些,1,
4,a lot,許多,1,
5,able,能夠…的,1,
6,about,關於,1,
7,above,在…上方,1,
8,abroad,在國外,-1,
9,across,在…對面,1,
10,actress,女演員,1,
11,afraid,害怕的,1,
12,after,在…之後,1,
13,afternoon,下午,-1,
14,again,再一次,1,
15,age,年齡,1,
16,ago,以前,1,
17,agree,同意,1,
18,ahead,在前方,1,
19,air,空氣,1,
20,airplane,飛機,1,
21,airport,機場,1,
22,all,全部,0,
23,almost,幾乎,-1,
24,along,沿著,1,
25,already,已經,1,
26,also,也,-1,
27,always,總是,1,
28,a.m.,上午,0,
29,America,美國,1,
30,American,美國的,1,
31,and,和,0,
32,angry,生氣的,1,
33,animal,動物,1,
34,another,另一個,1,
35,answer,回答,-1,
36,ant,螞蟻,1,
37,any,任何的,1,
38,anyone,任何人,1,
39,anything,任何事物,1,
40,apartment,公寓,-1,
41,appear,出現,1,
42,apple,蘋果,1,
43,April,四月,1,
44,arm,手臂,1,
45,around,在…四周,1,
46,arrive,到達,1,
47,art,美術,1,
48,as,與…一樣,-1,
49,ask,問,0,
50,at,在,0,
51,August,八月,1,
52,aunt,伯(叔)母,1,
53,autumn,秋天,1,
54,away,遠離,1,
55,baby,嬰兒,0,
56,back,背後,1,
57,bad,壞的,1,
58,badminton,羽毛球,1,
59,bag,袋子,1,
60,bake,烘烤,1,
61,bakery,麵包店,1,
62,balcony,陽台,1,
63,ball,球,1,
64,banana,香蕉,1,
65,band,樂團,-1,
66,bank,銀行,1,
67,barbecue,烤肉,1,
68,baseball,棒球,1,
69,basket,籃子,1,
70,basketball,籃球,1,
71,bat,蝙蝠,1,
72,bath,洗澡,1,
73,bathroom,浴室,-1,
74,be,是,0,
75,beach,海灘,1,
76,bean,豆,1,
77,bear,熊,1,
78,beautiful,美麗的,1,
79,because,因為,1,
80,become,變成,1,
81,bed,床,1,
82,bedroom,臥室,1,
83,bee,蜜蜂,0,
84,beef,牛肉,1,
85,before,在…之前,1,
86,begin,開始,1,
87,behind,在…後面,-1,
88,believe,相信,1,
89,bell,鈴,1,
90,belong,屬於,1,
91,below,在…下方,1,
92,belt,皮帶,1,
93,bench,長椅,1,
94,beside,在…旁邊,1,
95,between,在…之間,1,
96,bike,腳踏車,1,
97,big,大的,1,
98,bird,鳥,1,
99,birthday,生日,-1,
100,bite,咬,1,
101,black,黑色(的),1,
102,blackboard,黑板,-1,
103,blanket,毯子,1,
104,blind,瞎的,1,
105,block,街區,1,
106,blow,吹,1,
107,blue,藍色(的),1,
108,boat,船,1,
109,body,身體,1,
110,boil,煮沸,1,
111,book,書,1,
112,bookstore,書店,1,
113,bored,感到厭煩的,-1,
114,boring,無聊的,-1,
115,born,出生,1,
116,borrow,借入,1,
117,boss,老板,1,
118,both,兩者都,1,
119,bottle,瓶子,1,
120,bottom,底部,-1,
121,bow,敬禮,1,
122,bowl,碗,1,
123,box,盒子,1,
124,boy,男孩,1,
125,bread,麵包,1,
126,break,打破,1,
127,breakfast,早餐,1,
128,bridge,橋,-1,
129,bright,明亮的,1,
130,bring,帶來,1,
131,brother,兄弟,1,
132,brown,褐色(的),1,
133,brush,刷,1,
134,bug,小蟲,1,
135,build,建造,1,
136,bun,小圓麵包,1,
137,burn,燃燒,1,
138,bus,公車,1,
139,business,生意,1,
140,businessman,商人,1,
141,busy,忙碌的,1,
142,but,但是,1,
143,butter,奶油,1,
144,butterfly,蝴蝶,1,
145,buy,買,1,
146,by,藉著,0,
147,cage,籠子,1,
148,cake,蛋糕,0,
149,call,打電話,1,
150,camera,照相機,1,
151,camp,露營,1,
152,can,能夠,1,
153,candle,蠟燭,1,
154,candy,糖果,0,
155,cap,(無邊便)帽,1,
156,car,車子,0,
157,card,卡片,1,
158,care,關心,1,
159,careful,仔細的,1,
160,carry,攜帶,-1,
161,case,情形,1,
162,castle,城堡,1,
163,cat,貓,0,
164,catch,趕上,1,
165,celebrate,慶祝,-1,
166,cell phone,手機,1,
167,cent,(一)分錢,1,
168,center,中心,1,
169,centimeter,公分,1,
170,chair,椅子,1,
171,chalk,粉筆,1,
172,chance,機會,1,
173,change,零錢,1,
174,cheap,便宜的,1,
175,cheat,欺騙,1,
176,check,檢查,1,
177,cheer,歡呼,1,
178,cheese,乳酪,1,
179,chess,西洋棋,1,
180,chicken,雞肉,-1,
181,child,小孩,1,
182,China,中國,0,
183,Chinese,中文,1,
184,chocolate,巧克力,1,
185,choose,選擇,1,
186,chopsticks,筷子,1,
187,Christmas,聖誕節,1,
188,church,教堂,1,
189,circle,圓圈,1,
190,city,城市,1,
191,clap,拍手,1,
192,class,班級,1,
193,classmate,同班同學,-1,
194,classroom,教室,1,
195,clean,打掃,1,
196,clear,清楚的,1,
197,clerk,店員,1,
198,climb,爬,1,
199,clock,時鐘,1,
200,close,關上,1,
201,clothes,衣服,1,
202,cloudy,多雲的,1,
203,club,社團,1,
204,coat,大衣,1,
205,coffee,咖啡,1,
206,Coke,可樂,0,
207,cold,寒冷的,1,
208,collect,收集,1,
209,color,色彩,1,
